date,product_id,page_views,add_to_cart,purchases,conversion_rate,avg_rating,reviews_count,organic_preference
2023-01-01,FRUIT001,117,0,1,0.16092611352434097,4.3,0,1
2023-01-02,FRUIT001,118,2,15,0.15533815366074843,3.5,5,1
2023-01-03,FRUIT001,71,10,17,0.18922503929381496,4.2,0,1
2023-01-04,FRUIT001,76,17,5,0.1757645377207936,4.1,1,1
2023-01-05,FRUIT001,88,11,12,0.1923990340512305,3.5,2,1
2023-01-06,FRUIT001,90,34,3,0.1695378423048184,4.2,0,1
2023-01-07,FRUIT001,58,18,9,0.10018891924570025,4.7,2,1
2023-01-08,FRUIT001,101,13,14,0.17439677300925055,3.7,3,1
2023-01-09,FRUIT001,58,13,8,0.2095503478397579,4.1,5,1
2023-01-10,FRUIT001,85,20,4,0.14129699105462767,3.8,2,1
2023-01-11,FRUIT001,105,20,10,0.18609396606659306,3.9,0,1
2023-01-12,FRUIT001,50,4,0,0.16565554039382724,4.4,3,1
2023-01-13,FRUIT001,100,11,15,0.13317948849540345,3.7,4,1
2023-01-14,FRUIT001,61,19,0,0.18839775873336467,4.3,0,1
2023-01-15,FRUIT001,56,14,8,0.23119350749356082,4.5,1,1
2023-01-16,FRUIT001,55,27,7,0.18987615901443577,4.8,0,1
2023-01-17,FRUIT001,78,10,14,0.21551019310639308,4.8,3,1
2023-01-18,FRUIT001,102,20,12,0.11582319757995074,3.7,2,1
2023-01-19,FRUIT001,25,23,5,0.19315783951157384,4.1,4,1
2023-01-20,FRUIT001,68,13,15,0.14635919307863687,3.9,4,1
2023-01-21,FRUIT001,72,23,12,0.11198105931742494,4.4,3,1
2023-01-22,FRUIT001,107,15,3,0.1355597994825893,4.7,3,1
2023-01-23,FRUIT001,62,23,5,0.20744642300385763,3.7,2,1
2023-01-24,FRUIT001,95,14,4,0.17783780614878325,4.7,3,1
2023-01-25,FRUIT001,87,10,5,0.21013545666852057,3.9,4,1
2023-01-26,FRUIT001,107,22,6,0.16126433691099643,3.8,1,1
2023-01-27,FRUIT001,95,36,15,0.1529599399176682,4.2,0,1
2023-01-28,FRUIT001,90,19,8,0.21542889198736626,4.4,5,1
2023-01-29,FRUIT001,71,24,3,0.2038545708022133,4.4,0,1
2023-01-30,FRUIT001,68,14,7,0.1055387150313329,4.5,3,1
2023-01-31,FRUIT001,79,16,7,0.16851674606220257,4.3,7,1
2023-02-01,FRUIT001,83,18,0,0.20234112859623216,4.0,2,1
2023-02-02,FRUIT001,70,15,11,0.0851216512994716,4.7,1,1
2023-02-03,FRUIT001,80,17,5,0.13557001265160526,4.6,6,1
2023-02-04,FRUIT001,41,15,9,0.19147782933790575,3.6,4,1
2023-02-05,FRUIT001,55,9,6,0.1019144084540471,4.1,0,1
2023-02-06,FRUIT001,24,18,11,0.2209846907612446,4.6,5,1
2023-02-07,FRUIT001,58,25,8,0.12872840162870045,4.7,1,1
2023-02-08,FRUIT001,70,20,10,0.1433799041548965,4.5,3,1
2023-02-09,FRUIT001,98,19,7,0.09836649485219548,3.9,1,1
2023-02-10,FRUIT001,74,12,10,0.18967229306528444,3.9,2,1
2023-02-11,FRUIT001,98,12,17,0.21574560696873396,3.8,0,1
2023-02-12,FRUIT001,102,13,5,0.10127129538002215,4.6,1,1
2023-02-13,FRUIT001,49,31,14,0.14841996911816924,4.7,0,1
2023-02-14,FRUIT001,71,14,0,0.1874113291007104,4.3,5,1
2023-02-15,FRUIT001,82,12,0,0.15371121284609668,4.6,5,1
2023-02-16,FRUIT001,62,8,7,0.17921380369093412,3.8,5,1
2023-02-17,FRUIT001,117,30,11,0.21215487709702063,3.9,0,1
2023-02-18,FRUIT001,72,10,1,0.21759921046485609,4.0,6,1
2023-02-19,FRUIT001,52,2,7,0.11488374105147359,4.8,1,1
2023-02-20,FRUIT001,112,7,6,0.16490579757410795,3.8,3,1
2023-02-21,FRUIT001,94,25,0,0.11279047990327272,4.1,0,1
2023-02-22,FRUIT001,45,9,3,0.24630967374141471,4.1,3,1
2023-02-23,FRUIT001,76,17,10,0.2498441870976862,3.6,4,1
2023-02-24,FRUIT001,94,21,10,0.2033415700028783,3.6,4,1
2023-02-25,FRUIT001,33,0,12,0.21584384471715562,3.9,0,1
2023-02-26,FRUIT001,85,25,8,0.16446063380221743,4.4,0,1
2023-02-27,FRUIT001,101,8,7,0.08642204764249117,4.3,4,1
2023-02-28,FRUIT001,114,21,8,0.13530973783573033,3.8,1,1
2023-03-01,FRUIT001,145,2,4,0.20970602659426052,4.5,2,1
2023-03-02,FRUIT001,75,16,11,0.17202693767539345,4.2,3,1
2023-03-03,FRUIT001,48,13,7,0.22425751637736258,4.2,3,1
2023-03-04,FRUIT001,85,22,7,0.1324383901060014,4.2,3,1
2023-03-05,FRUIT001,83,22,6,0.24281972017842418,4.6,4,1
2023-03-06,FRUIT001,65,11,8,0.16732216630782126,4.7,4,1
2023-03-07,FRUIT001,108,20,17,0.17341889353956869,4.5,2,1
2023-03-08,FRUIT001,99,15,0,0.1858064429690781,4.4,3,1
2023-03-09,FRUIT001,93,7,4,0.12281711967025054,3.9,1,1
2023-03-10,FRUIT001,46,3,11,0.09846255067381086,3.6,3,1
2023-03-11,FRUIT001,92,15,6,0.1232128702942033,4.2,3,1
2023-03-12,FRUIT001,76,12,2,0.18347717189334617,4.6,4,1
2023-03-13,FRUIT001,97,22,8,0.205135359915246,4.4,0,1
2023-03-14,FRUIT001,75,6,10,0.1973811942844133,4.2,3,1
2023-03-15,FRUIT001,79,17,3,0.2372535504708123,3.8,4,1
2023-03-16,FRUIT001,73,22,4,0.20046557649632457,3.9,3,1
2023-03-17,FRUIT001,92,26,5,0.1425762193254762,4.8,1,1
2023-03-18,FRUIT001,79,15,5,0.11125327664491869,4.0,1,1
2023-03-19,FRUIT001,78,19,4,0.24571612075316912,4.7,2,1
2023-03-20,FRUIT001,61,17,14,0.17692996998721855,4.0,6,1
2023-03-21,FRUIT001,75,4,14,0.15542245891804754,4.6,0,1
2023-03-22,FRUIT001,145,1,11,0.1799590806128779,3.8,6,1
2023-03-23,FRUIT001,59,10,1,0.189434786184532,3.9,2,1
2023-03-24,FRUIT001,96,16,6,0.09421966161161184,4.0,4,1
2023-03-25,FRUIT001,101,8,13,0.10432851660050288,4.7,0,1
2023-03-26,FRUIT001,69,16,6,0.10865092834536558,4.1,8,1
2023-03-27,FRUIT001,72,11,6,0.1030802647467166,4.1,3,1
2023-03-28,FRUIT001,139,13,6,0.08692394070102061,4.0,2,1
2023-03-29,FRUIT001,68,15,5,0.22091754338210812,4.3,3,1
2023-03-30,FRUIT001,132,12,5,0.08652986302043243,4.6,3,1
2023-03-31,FRUIT001,47,13,4,0.2042730926919903,4.2,0,1
2023-04-01,FRUIT001,77,14,9,0.08069472624821436,4.7,6,1
2023-04-02,FRUIT001,77,6,7,0.15892807593690983,3.9,6,1
2023-04-03,FRUIT001,76,12,19,0.20116803694363375,4.0,0,1
2023-04-04,FRUIT001,52,16,11,0.23346646361856216,4.2,1,1
2023-04-05,FRUIT001,71,13,7,0.20895461109669522,4.7,2,1
2023-04-06,FRUIT001,57,3,11,0.15019421226276147,3.6,0,1
2023-04-07,FRUIT001,92,17,0,0.20196805258066863,3.6,5,1
2023-04-08,FRUIT001,73,23,2,0.1421677329935379,4.5,2,1
2023-04-09,FRUIT001,49,28,0,0.13137130929158458,3.7,0,1
2023-04-10,FRUIT001,94,0,9,0.18840826640780328,4.4,2,1
2023-04-11,FRUIT001,73,5,2,0.17334821303517778,3.8,3,1
2023-04-12,FRUIT001,62,21,9,0.13795192824288458,3.5,4,1
2023-04-13,FRUIT001,61,14,12,0.16400464397409686,3.7,2,1
2023-04-14,FRUIT001,85,3,10,0.09977617104089606,3.9,3,1
2023-04-15,FRUIT001,89,7,3,0.15580302705858054,3.5,2,1
2023-04-16,FRUIT001,47,11,5,0.23024650492705323,4.7,3,1
2023-04-17,FRUIT001,121,30,5,0.10516619976802678,3.9,0,1
2023-04-18,FRUIT001,115,8,14,0.16443004425059143,4.4,5,1
2023-04-19,FRUIT001,58,11,0,0.13641287447197142,3.9,3,1
2023-04-20,FRUIT001,105,8,8,0.19727595757526403,4.4,0,1
2023-04-21,FRUIT001,118,5,3,0.12327406249905498,4.5,3,1
2023-04-22,FRUIT001,74,0,9,0.15831946630232033,4.4,5,1
2023-04-23,FRUIT001,49,19,0,0.2419342367650667,4.8,1,1
2023-04-24,FRUIT001,87,24,9,0.09953324683057824,3.5,3,1
2023-04-25,FRUIT001,69,15,10,0.19016564207041142,4.4,0,1
2023-04-26,FRUIT001,73,10,5,0.17608199343010866,4.0,3,1
