date,product_id,current_stock,reorder_level,reorder_quantity,lead_time_days,shelf_life_days
2023-01-01,FRUIT001,36,15,73,3,10
2023-01-02,FRUIT001,22,13,75,1,10
2023-01-03,FRUIT001,9,6,33,4,10
2023-01-04,FRUIT001,33,6,49,2,10
2023-01-05,FRUIT001,37,11,75,2,10
2023-01-06,FRUIT001,50,14,46,5,10
2023-01-07,FRUIT001,51,13,41,1,10
2023-01-08,FRUIT001,13,17,75,1,10
2023-01-09,FRUIT001,39,14,44,4,10
2023-01-10,FRUIT001,8,7,59,3,10
2023-01-11,FRUIT001,29,8,55,4,10
2023-01-12,FRUIT001,20,11,67,3,10
2023-01-13,FRUIT001,35,15,31,4,10
2023-01-14,FRUIT001,54,7,60,1,10
2023-01-15,FRUIT001,57,5,52,3,10
2023-01-16,FRUIT001,34,20,65,2,10
2023-01-17,FRUIT001,43,14,72,1,10
2023-01-18,FRUIT001,58,7,60,3,10
2023-01-19,FRUIT001,14,18,64,5,10
2023-01-20,FRUIT001,41,18,58,3,10
2023-01-21,FRUIT001,39,14,34,4,10
2023-01-22,FRUIT001,14,5,32,1,10
2023-01-23,FRUIT001,44,11,49,3,10
2023-01-24,FRUIT001,38,6,39,4,10
2023-01-25,FRUIT001,13,9,38,2,10
2023-01-26,FRUIT001,25,6,72,4,10
2023-01-27,FRUIT001,46,17,62,3,10
2023-01-28,FRUIT001,19,18,38,1,10
2023-01-29,FRUIT001,23,7,63,4,10
2023-01-30,FRUIT001,51,9,48,4,10
2023-01-31,FRUIT001,11,8,62,5,10
2023-02-01,FRUIT001,19,15,53,3,10
2023-02-02,FRUIT001,40,15,42,3,10
2023-02-03,FRUIT001,25,10,71,2,10
2023-02-04,FRUIT001,27,5,35,4,10
2023-02-05,FRUIT001,40,9,72,2,10
2023-02-06,FRUIT001,8,12,57,5,10
2023-02-07,FRUIT001,13,17,79,1,10
2023-02-08,FRUIT001,36,8,40,5,10
2023-02-09,FRUIT001,11,10,40,1,10
2023-02-10,FRUIT001,58,20,45,2,10
2023-02-11,FRUIT001,34,14,56,1,10
2023-02-12,FRUIT001,28,10,77,4,10
2023-02-13,FRUIT001,50,7,65,4,10
2023-02-14,FRUIT001,44,6,56,1,10
2023-02-15,FRUIT001,10,11,75,1,10
2023-02-16,FRUIT001,38,16,72,4,10
2023-02-17,FRUIT001,35,15,35,1,10
2023-02-18,FRUIT001,36,17,63,1,10
2023-02-19,FRUIT001,22,7,36,3,10
2023-02-20,FRUIT001,49,20,75,2,10
2023-02-21,FRUIT001,43,7,56,5,10
2023-02-22,FRUIT001,23,19,73,4,10
2023-02-23,FRUIT001,11,12,67,3,10
2023-02-24,FRUIT001,39,20,40,3,10
2023-02-25,FRUIT001,55,5,38,5,10
2023-02-26,FRUIT001,10,14,74,5,10
2023-02-27,FRUIT001,31,16,76,2,10
2023-02-28,FRUIT001,29,12,54,3,10
2023-03-01,FRUIT001,27,14,54,5,10
2023-03-02,FRUIT001,52,20,52,2,10
2023-03-03,FRUIT001,11,8,78,5,10
2023-03-04,FRUIT001,42,13,51,5,10
2023-03-05,FRUIT001,22,14,69,1,10
2023-03-06,FRUIT001,53,6,48,3,10
2023-03-07,FRUIT001,22,18,66,5,10
2023-03-08,FRUIT001,36,15,35,5,10
2023-03-09,FRUIT001,32,18,39,5,10
2023-03-10,FRUIT001,23,10,59,5,10
2023-03-11,FRUIT001,12,17,50,3,10
2023-03-12,FRUIT001,37,14,70,1,10
2023-03-13,FRUIT001,48,17,47,5,10
2023-03-14,FRUIT001,50,17,62,3,10
2023-03-15,FRUIT001,39,9,73,1,10
2023-03-16,FRUIT001,9,13,70,1,10
2023-03-17,FRUIT001,46,19,77,1,10
2023-03-18,FRUIT001,13,17,38,3,10
2023-03-19,FRUIT001,43,10,62,1,10
2023-03-20,FRUIT001,10,18,68,5,10
2023-03-21,FRUIT001,45,13,51,5,10
2023-03-22,FRUIT001,31,19,79,3,10
2023-03-23,FRUIT001,28,13,80,2,10
2023-03-24,FRUIT001,51,13,62,1,10
2023-03-25,FRUIT001,35,12,78,2,10
2023-03-26,FRUIT001,14,20,57,3,10
2023-03-27,FRUIT001,50,17,38,3,10
2023-03-28,FRUIT001,49,19,41,3,10
2023-03-29,FRUIT001,50,15,32,4,10
2023-03-30,FRUIT001,56,6,63,2,10
2023-03-31,FRUIT001,48,10,55,3,10
2023-04-01,FRUIT001,31,19,47,5,10
2023-04-02,FRUIT001,48,11,47,2,10
2023-04-03,FRUIT001,41,9,45,5,10
2023-04-04,FRUIT001,9,13,33,2,10
2023-04-05,FRUIT001,33,20,36,4,10
2023-04-06,FRUIT001,15,10,70,5,10
2023-04-07,FRUIT001,45,18,44,4,10
2023-04-08,FRUIT001,53,12,33,3,10
2023-04-09,FRUIT001,51,15,44,2,10
2023-04-10,FRUIT001,22,10,59,5,10
2023-04-11,FRUIT001,50,19,68,3,10
2023-04-12,FRUIT001,38,13,75,2,10
2023-04-13,FRUIT001,18,11,77,1,10
2023-04-14,FRUIT001,30,7,64,4,10
2023-04-15,FRUIT001,34,12,51,3,10
2023-04-16,FRUIT001,32,9,39,1,10
