date,product_id,product_name,category,quantity_sold,unit_price,revenue,cost,profit,month,day_of_week,is_weekend,season,shelf_life_days
2023-01-01,FRUIT001,Framboises,Fruits Bio,33,9.49,313.17,164.01,149.16000000000003,1,6,1,Hiver,10
2023-01-02,FRUIT001,Framboises,Fruits Bio,31,9.49,294.19,154.07,140.12,1,0,0,Hiver,10
2023-01-03,FRUIT001,Framboises,Fruits Bio,43,9.49,408.07,213.70999999999998,194.36,1,1,0,Hiver,10
2023-01-04,FRUIT001,Framboises,Fruits Bio,44,9.49,417.56,218.67999999999998,198.88000000000002,1,2,0,Hiver,10
2023-01-05,FRUIT001,Framboises,Fruits Bio,23,9.49,218.27,114.30999999999999,103.96000000000002,1,3,0,Hiver,10
2023-01-06,FRUIT001,Framboises,Fruits Bio,42,9.49,398.58,208.73999999999998,189.84,1,4,0,Hiver,10
2023-01-07,FRUIT001,Framboises,Fruits Bio,62,9.49,588.38,308.14,280.24,1,5,1,Hiver,10
2023-01-08,FRUIT001,Framboises,Fruits Bio,29,9.49,275.21,144.13,131.07999999999998,1,6,1,Hiver,10
2023-01-09,FRUIT001,Framboises,Fruits Bio,25,9.49,237.25,124.25,113.0,1,0,0,Hiver,10
2023-01-10,FRUIT001,Framboises,Fruits Bio,37,9.49,351.13,183.89,167.24,1,1,0,Hiver,10
2023-01-11,FRUIT001,Framboises,Fruits Bio,10,9.49,94.9,49.699999999999996,45.20000000000001,1,2,0,Hiver,10
2023-01-12,FRUIT001,Framboises,Fruits Bio,0,9.49,0.0,0.0,0.0,1,3,0,Hiver,10
2023-01-13,FRUIT001,Framboises,Fruits Bio,40,9.49,379.6,198.79999999999998,180.80000000000004,1,4,0,Hiver,10
2023-01-14,FRUIT001,Framboises,Fruits Bio,33,9.49,313.17,164.01,149.16000000000003,1,5,1,Hiver,10
2023-01-15,FRUIT001,Framboises,Fruits Bio,71,9.49,673.79,352.87,320.91999999999996,1,6,1,Hiver,10
2023-01-16,FRUIT001,Framboises,Fruits Bio,52,9.49,493.48,258.44,235.04000000000002,1,0,0,Hiver,10
2023-01-17,FRUIT001,Framboises,Fruits Bio,68,9.49,645.32,337.96,307.36000000000007,1,1,0,Hiver,10
2023-01-18,FRUIT001,Framboises,Fruits Bio,64,9.49,607.36,318.08,289.28000000000003,1,2,0,Hiver,10
2023-01-19,FRUIT001,Framboises,Fruits Bio,35,9.49,332.15000000000003,173.95,158.20000000000005,1,3,0,Hiver,10
2023-01-20,FRUIT001,Framboises,Fruits Bio,29,9.49,275.21,144.13,131.07999999999998,1,4,0,Hiver,10
2023-01-21,FRUIT001,Framboises,Fruits Bio,22,9.49,208.78,109.33999999999999,99.44000000000001,1,5,1,Hiver,10
2023-01-22,FRUIT001,Framboises,Fruits Bio,24,9.49,227.76,119.28,108.47999999999999,1,6,1,Hiver,10
2023-01-23,FRUIT001,Framboises,Fruits Bio,90,9.49,854.1,447.29999999999995,406.80000000000007,1,0,0,Hiver,10
2023-01-24,FRUIT001,Framboises,Fruits Bio,21,9.49,199.29,104.36999999999999,94.92,1,1,0,Hiver,10
